"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"51"," Kazakhstan","13.5","","11.9","","13.7","","11.9","","11.9","","10.2","","7.9","","8.0","","7.1","","7.2",""
"143"," Kenya","31.9","","33.6","","33.6","","32.8","","31.4","","29.5","","26.4","","26.4","","26.4","","26.3",""
"134"," Kiribati","..","","..","","..","","31.4","","31.4","","33.1","","32.6","","..","","..","","18.1",""
"23"," Korea (Republic of)","16.6","","16.5","","16.5","","17.3","","16.4","","16.3","","14.3","","14.4","","14.2","","11.0",""
"120"," Kyrgyzstan","15.1","","14.5","","17.1","","17.4","","14.4","","12.3","","9.8","","9.9","","9.6","","9.6",""
"137"," Lao People's Democratic Republic","24.8","","22.8","","24.5","","24.6","","25.5","","27.1","","26.1","","26.2","","24.8","","24.8",""
"37"," Latvia","11.0","","11.0","","10.8","","10.6","","10.8","","10.5","","10.4","","10.5","","9.0","","9.6",""
"92"," Lebanon","..","","22.8","","22.8","","20.9","","20.9","","21.1","","..","","..","","..","","..",""
"165"," Lesotho","33.9","","35.8","","36.0","","35.6","","35.7","","35.6","","30.9","","30.9","","32.6","","27.5",""
"175"," Liberia","37.4","","35.4","","35.2","","33.8","","34.7","","33.3","","31.6","","31.6","","32.3","","32.3",""
"34"," Lithuania","11.4","","9.8","","10.9","","10.6","","10.1","","10.4","","10.5","","11.8","","10.8","","10.3",""
"23"," Luxembourg","9.0","","7.8","","7.2","","7.6","","7.9","","8.1","","9.9","","10.4","","9.4","","9.8",""
"164"," Madagascar","29.2","","30.9","","30.7","","30.6","","27.1","","27.0","","25.8","","25.9","","25.8","","26.1",""
"174"," Malawi","32.3","","31.8","","31.4","","31.8","","32.9","","31.2","","30.5","","30.4","","28.7","","28.6",""
"95"," Maldives","15.5","","25.1","","25.3","","25.4","","24.9","","24.6","","24.3","","23.4","","21.1","","21.1",""
"184"," Mali","38.2","","..","","..","","..","","35.6","","33.6","","32.2","","34.0","","31.1","","33.4",""
"28"," Malta","..","","..","","8.1","","8.3","","8.5","","8.1","","8.2","","8.2","","8.1","","8.0",""
"157"," Mauritania","35.2","","34.2","","34.4","","35.2","","33.3","","32.5","","33.0","","33.0","","32.1","","32.1",""
"66"," Mauritius","..","","13.3","","13.4","","14.2","","14.2","","14.3","","14.1","","13.4","","13.7","","13.7",""
"74"," Mexico","21.0","","23.4","","23.5","","22.9","","22.5","","23.0","","21.7","","21.3","","22.6","","21.3",""
"136"," Micronesia (Federated States of)","38.9","","38.6","","..","","..","","..","","..","","..","","..","","..","","..",""
"90"," Moldova (Republic of)","13.5","","12.2","","11.6","","12.2","","10.7","","10.2","","10.3","","10.4","","10.3","","10.4",""
"99"," Mongolia","15.2","","13.9","","15.9","","11.4","","12.8","","12.9","","13.7","","13.6","","13.6","","14.0",""
"48"," Montenegro","9.8","","6.9","","7.4","","7.3","","9.3","","8.8","","8.6","","8.9","","8.6","","9.7",""
"121"," Morocco","28.1","","29.7","","29.8","","29.7","","29.8","","29.5","","..","","..","","..","","..",""
